,Job Role Title,Skill Set Needed
362,Pre Acquisition Analyst,"['Credit Policies', 'Credit Risk', 'Pre Acquisition', 'Credit Underwriting', 'Risk']"
363,Data Scientist,"['Machine learning', 'Statistics', 'Data analysis']"
364,Software Engineer,"['RTL Compiler', 'Timing Closure', 'IR Drop', 'SoC Encounter', 'Physical Design', 'Innovus', 'P&R']"
365,IT Deployment Specialist,['Google Application Deployment']
366,OpenText Specialist,"['DAM', 'Purchase Orders', 'Invoice Management', 'OpenText', 'SAP_ALV', 'Digital Media', 'SAP Workflow']"
367,UI/UX Developer,"['UI Design', 'XML', 'JSON', 'HTML', 'J2EE', 'Java']"
368,Assistant Manager,"['AM PED', 'Senior Executive PED', 'Team Leader PED']"
369,PPC Executive,"['Production Planning Control Executive', 'PPC Executive']"
370,Training Coordinator,"['Recruitment', 'Policies']"
371,Digital Marketing Specialist,"['Web Analytics', 'CRM', 'Data Strategy', 'Targeting', 'Web Technologies']"
372,Tele-Marketer,"['Telemarketing', 'Call Center', 'Tele-Sales', 'Tele-Marketing']"
373,Oracle Database Administrator,['Oracle Development']
374,Digital Marketing Specialist,"['CRM', 'Web Technologies']"
375,Java Developer,"['Travel', 'JSP', 'Coding']"
376,Network Administrator,"['WAN', 'Solaris', 'UNIX', 'SAN']"
377,Company Secretary,['Company Secretary']
378,US Staffing Specialist,"['Client Acquisition', 'US Staffing']"
379,Front Office Coordinator,"['Receptionist', 'Front Office Executive', 'Front Desk Executive', 'FOE', 'Guest Relation Executive']"
380,Data Scientist,"['Statistics', 'Machine learning']"
381,US Staffing Specialist,"['US Staffing', 'Client Acquisition']"
382,Software Engineer,"['Innovus', 'Prime Time']"
383,Tele-Marketer,"['Call Center', 'Telemarketing', 'Tele-Marketing', 'Tele-Sales']"
384,Application Support Manager,['Application Support Delivery Manager']
385,IT Support Specialist,"['Classic ASP', 'IIS', 'JSON', 'WCF', 'MSBuild', 'Javascript']"
386,Front Office Coordinator,"['Front Desk Executive', 'FOE', 'Guest Relation Executive']"
387,Recruitment Specialist,"['US IT Recruitment', 'US IT Staffing', 'US Recruitment']"
388,Software Engineer,"['Problem-solving', 'Algorithms', 'Programming (e.g., Python, Java, C++)']"
389,System Administrator,"['Ubuntu', 'Linux Administration']"
390,Digital Marketing Specialist,"['Web Technologies', 'Marketing Strategy']"
391,Gas Turbine Engineer,"['Manufacturing Engineering', 'Gas Turbine']"
392,Gas Turbine Engineer,"['Manufacturing Engineering', 'Gas Turbine']"
393,Finance Analyst,['Finance and Tax']
394,Regional Sales Manager,"['Events', 'Regional Sales']"
395,Assistant Manager,"['AM PED', 'Senior Executive PED']"
396,US Staffing Specialist,['Client Acquisition']
397,Bloomberg Terminal Specialist,['Bloomberg Terminal']
398,System Administrator,['Apache']
399,Web Developer,"['Front-end frameworks (e.g., React)', 'HTML', 'JavaScript']"
